name,ring,quadrant,isNew,description
Everything as code,Assess,Techniques,TRUE,"We should be able to run most of the process, not only deployments as versionable resources. This goes from infrastructure up to organization.</br>
<a href=""https://hackernoon.com/everything-as-code-explained-0ibg32a3"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Use serviceWorkers,Assess,Techniques,TRUE,"We don't have advanced serviceWorker-driven caching techniques in use atm. Performance might not be the no. 1 priority right now, but for the users it matters. serviceWorkers are now seeing 94% browser support globally (according to caniuse.com). Using standard impl. like workbox (by Google) we could increase our apps speed drastically with a few lines of (well end2end tested) code.</br>
<a href=""https://developer.mozilla.org/en-US/docs/Web/API/Service_Worker_API#service_worker_concepts_and_usage"">Wepage</a></br>
<a href=""https://developers.google.com/web/tools/workbox/"">Example Library</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Power BI,Adopt,Platforms,TRUE,"is a business analytics service by Microsoft. It aims to provide interactive visualizations and business intelligence capabilities with an interface simple enough for end users to create their own reports and dashboards.</br>
<a href=""https://powerbi.microsoft.com/en-us/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Redis,Adopt,Platforms,TRUE,"Redis is an open source (BSD licensed), in-memory data structure store, used as a database, cache, and message broker. Redis provides data structures such as strings, hashes, lists, sets, sorted sets with range queries, bitmaps, hyperloglogs, geospatial indexes, and streams. Redis has built-in replication, Lua scripting, LRU eviction, transactions, and different levels of on-disk persistence, and provides high availability via Redis Sentinel and automatic partitioning with Redis Cluster.</br>
<a href=""https://redis.io/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
node.js,Adopt,Platforms,TRUE,"Node.js is an open-source, cross-platform, back-end JavaScript runtime environment that runs on the V8 engine and executes JavaScript code outside a web browser. Node.js lets developers use JavaScript to write command line tools and for server-side scripting—running scripts server-side to produce dynamic web page content before the page is sent to the user's web browser. Consequently, Node.js represents a ""JavaScript everywhere"" paradigm,[6] unifying web-application development around a single programming language, rather than different languages for server-side and client-side scripts.</br>
<a href=""https://nodejs.org/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
AWS Glue,Trial,Platforms,TRUE,"AWS Glue is a serverless data integration service that makes it easy to discover, prepare, and combine data for analytics, machine learning, and application development. AWS Glue provides all of the capabilities needed for data integration so that you can start analyzing your data and putting it to use.</br>
<a href=""https://aws.amazon.com/glue/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Athena,Trial,Platforms,TRUE,"Is an interactive query service that makes it easy to analyze data in Amazon S3 using standard SQL. Athena is serverless, so there is no infrastructure to manage, and you pay only for the queries that you run.</br>
<a href=""https://aws.amazon.com/athena/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Snowflake,Assess,Platforms,TRUE,"Snowflake offers a cloud-based data storage and analytics service, generally termed ""data warehouse-as-a-service"". It allows corporate users to store and analyze data using cloud-based hardware and software.</br>
<a href=""https://www.snowflake.com/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Kinesis Data Firehose,Assess,Platforms,TRUE,"Amazon Kinesis Data Firehose is the easiest way to reliably load streaming data into data lakes, data stores, and analytics services. It can capture, transform, and deliver streaming data to Amazon S3, Amazon Redshift, Amazon Elasticsearch Service, generic HTTP endpoints, and service providers like Datadog, New Relic, MongoDB, and Splunk. It is a fully managed service that automatically scales to match the throughput of your data and requires no ongoing administration. It can also batch, compress, transform, and encrypt your data streams before loading, minimizing the amount of storage used and increasing security.</br>
<a href=""https://aws.amazon.com/kinesis/data-firehose"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
AWS Step Functions to orchestrate data pipelines,Assess,Platforms,TRUE,"Is a low-code visual workflow service used to orchestrate AWS services, automate business processes, and build serverless applications. Workflows manage failures, retries, parallelization, service integrations, and observability so developers can focus on higher-value business logic. We can use it for Data Processing and ETL Orchestration.</br>
<a href=""https://aws.amazon.com/step-functions"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Snowplow,Assess,Platforms,TRUE,"Is a marketing and product analytics platform. It does three things:</br>
 - Identifies your users, and tracks the way they engage with your website or application</br>
 - Stores your users' behavioral data in a scalable ""event data warehouse"" you control: Amazon Redshift, Google BigQuery, Snowflake or Elasticsearch</br>
 - Lets you leverage the biggest range of tools to analyze that data, including big data tools (e.g. Spark) via EMR or more traditional tools e.g. Looker, Mode, Superset, Re:dash to analyze that behavioral data</br>
<a href=""https://snowplowanalytics.com/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Datahub,Assess,Platforms,TRUE,"Is a extensible metadata platform enables data discovery, data observability and federated governance that helps you tame complexity. </br>
<a href=""https://datahubproject.io/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Meltano,Assess,Platforms,TRUE,"Meltano is open source, self-hosted, CLI-first, debuggable, and extensible.</br>
Pipelines are code, ready to be version controlled, containerized, and deployed continuously. Develop and test locally, then deploy in production along with the built-in Airflow integration, or inside your orchestrator of choice.</br>
Meltano embraces the Singer standard and its community-maintained library of open source extractors and loaders, and leverages dbt for transformation.</br>
<a href=""https://meltano.com/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Athena CTAS as data warehouse,Assess,Platforms,TRUE,"A CREATE TABLE AS SELECT (CTAS) query creates a new table in Athena from the results of a SELECT statement from another query. Athena stores data files created by the CTAS statement in a specified location in Amazon S3.</br>
Therefore we could use it as an alternative to snowflake or redshift.</br>
<a href=""https://docs.aws.amazon.com/athena/latest/ug/ctas.html"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Deno,Assess,Platforms,TRUE,"Is a runtime for JavaScript and TypeScript that is based on the V8 JavaScript engine and the Rust programming language. Deno explicitly takes on the role of both runtime and package manager within a single executable, rather than requiring a separate package-management program..</br>
<a href=""https://deno.land/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Elasticache Redis,Assess,Platforms,TRUE," is a blazing fast in-memory data store that provides sub-millisecond latency to power internet-scale real-time applications. Built on open-source Redis and compatible with the Redis APIs, ElastiCache for Redis works with your Redis clients and uses the open Redis data format to store your data.</br>
<a href=""https://aws.amazon.com/elasticache/redis/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
GCP,Hold,Platforms,TRUE,"Our company is currently using AWS services for this reason we dont want to create new services in GCP.</br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
TypeScript,Adopt,Programming Languages and Frameworks,TRUE,"TypeScript is a programming language developed and maintained by Microsoft. It is a strict syntactical superset of JavaScript and adds optional static typing to the language. TypeScript is designed for the development of large applications and transcompiles to JavaScript. As TypeScript is a superset of JavaScript, existing JavaScript programs are also valid TypeScript programs.</br>
<a href=""https://www.typescriptlang.org/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
React,Adopt,Programming Languages and Frameworks,TRUE,"is a free and open-source front-end JavaScript library for building user interfaces or UI components. It is maintained by Facebook and a community of individual developers and companies. React can be used as a base in the development of single-page or mobile applications. However, React is only concerned with state management and rendering that state to the DOM, so creating React applications usually requires the use of additional libraries for routing, as well as certain client-side functionality</br>
<a href=""https://reactjs.org/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Spring Boot,Adopt,Programming Languages and Frameworks,TRUE,"Spring Boot is Spring's convention-over-configuration solution for creating stand-alone, production-grade Spring-based Applications that you can ""just run"". It is preconfigured with the Spring team's ""opinionated view"" of the best configuration and use of the Spring platform and third-party libraries so you can get started with minimum fuss. Most Spring Boot applications need very little Spring configuration.</br>
<a href=""https://spring.io/projects/spring-boot"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Java,Adopt,Programming Languages and Frameworks,TRUE,"Java is a high-level, class-based, object-oriented programming language that is designed to have as few implementation dependencies as possible. It is a general-purpose programming language intended to let application developers write once, run anywhere (WORA), meaning that compiled Java code can run on all platforms that support Java without the need for recompilation.</br>
<a href=""https://en.wikipedia.org/wiki/Java_(programming_language)"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Material-UI,Adopt,Programming Languages and Frameworks,TRUE,"Material-UI is a set of React components that implement Google's Material Design specification.</br>
<a href=""https://material-ui.com/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
fp-ts,Trial,Programming Languages and Frameworks,TRUE,"is a library for typed functional programming in TypeScript.</br>
fp-ts aims to allow developers to use popular patterns and abstractions that are available in most functional languages. For this, it includes the most popular data types, type classes and abstractions such as Option, Either, IO, Task, Functor, Applicative, Monad to empower users to write pure FP apps and libraries built atop higher order abstractions.</br>
<a href=""https://gcanti.github.io/fp-ts/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
fastify,Trial,Programming Languages and Frameworks,TRUE,"Fastify is a web framework highly focused on providing the best developer experience with the least overhead and a powerful plugin architecture.</br>
<a href=""https://www.fastify.io/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Python as support language,Trial,Programming Languages and Frameworks,TRUE,"Python is an interpreted high-level general-purpose programming language. Python's design philosophy emphasizes code readability with its notable use of significant indentation. Its language constructs as well as its object-oriented approach aim to help programmers write clear, logical code for small and large-scale projects.</br>
We recommend Python for the next type of projects:</br>
- Scripting</br>
- Data</br>
- Infrastructure</br>
<a href=""https://www.python.org/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Gatsby,Trial,Programming Languages and Frameworks,TRUE,"Gatsby is a free and open source framework based on React that helps developers build blazing fast websites and apps</br>
<a href=""https://www.gatsbyjs.com/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
io-ts,Trial,Programming Languages and Frameworks,TRUE,"bridges the gap between compile-time type-checking and run-time consumption of external data by providing encode and decode functions. It can also be used as a custom type guard.</br>
<a href=""https://gcanti.github.io/io-ts/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Kotlin,Assess,Programming Languages and Frameworks,TRUE,"is a cross-platform, statically typed, general-purpose programming language with type inference. Kotlin is designed to interoperate fully with Java, and the JVM version of Kotlin's standard library depends on the Java Class Library, but type inference allows its syntax to be more concise. Kotlin mainly targets the JVM, but also compiles to JavaScript (e.g., for frontend web applications using React) or native code (via LLVM);</br>
<a href=""https://kotlinlang.org/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Elm,Assess,Programming Languages and Frameworks,TRUE,"Elm is a domain-specific programming language for declaratively creating web browser-based graphical user interfaces. Elm is purely functional, and is developed with emphasis on usability, performance, and robustness. It advertises ""no runtime exceptions in practice""</br>
<a href=""https://elm-lang.org/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
NestJS,Assess,Programming Languages and Frameworks,TRUE,"NestJS is a framework for building efficient, scalable Node.js web applications. It uses modern JavaScript, is built with TypeScript and combines elements of OOP (Object Oriented Progamming), FP (Functional Programming), and FRP (Functional Reactive Programming).</br>
<a href=""https://nestjs.com/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
JavaScript,Hold,Programming Languages and Frameworks,TRUE,"is a programming language that conforms to the ECMAScript specification. JavaScript is high-level, often just-in-time compiled, and multi-paradigm. It has curly-bracket syntax, dynamic typing, prototype-based object-orientation, and first-class functions.</br>
<a href=""https://en.wikipedia.org/wiki/JavaScript"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
JSF,Hold,Programming Languages and Frameworks,TRUE,"Jakarta Server Faces (JSF; formerly JavaServer Faces) is a Java specification for building component-based user interfaces for web applications and was formalized as a standard through the Java Community Process being part of the Java Platform, Enterprise Edition. It is also a MVC web framework that simplifies construction of user interfaces (UI) for server-based applications by using reusable UI components in a page.</br>
<a href=""https://en.wikipedia.org/wiki/Jakarta_Server_Faces"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
Python for Services,Hold,Programming Languages and Frameworks,TRUE,"Python is an interpreted high-level general-purpose programming language. Python's design philosophy emphasizes code readability with its notable use of significant indentation. Its language constructs as well as its object-oriented approach aim to help programmers write clear, logical code for small and large-scale projects.</br>
We dont want to use this language for webdevelopment as it does not fit with our platform strategy. Please use TS or JVM Languages</br>
<a href=""https://www.python.org/"">Wepage</a></br>
<a href=""https://climatepartner.atlassian.net/l/c/f0X0hVM1"">Internal Reference</a></br>"
